title,rating,comments_count,director,writer,actors,genres,country_region,release_year,link
时空恋旅人 About Time,8.8,791900,理查德·柯蒂斯,理查德·柯蒂斯,多姆纳尔·格里森/瑞秋·麦克亚当斯/比尔·奈伊/莉迪亚·威尔逊/琳赛·邓肯,喜剧/爱情/奇幻,,2013,https://movie.douban.com/subject/10577869/
驯龙高手 How to Train Your Dragon,8.8,864419,迪恩·戴布洛伊,威廉姆·戴维斯/迪恩·戴布洛伊/克里斯·桑德斯/葛蕾熙达·柯维尔,杰伊·巴鲁切尔/杰拉德·巴特勒/克雷格·费格森/亚美莉卡·费雷拉/乔纳·希尔,动画/奇幻/冒险,,2010,https://movie.douban.com/subject/2353023/
消失的爱人 Gone Girl,8.7,1072478,大卫·芬奇,吉莉安·弗琳,本·阿弗莱克/裴淳华/尼尔·帕特里克·哈里斯/凯莉·库恩/泰勒·派瑞,剧情/悬疑/惊悚/犯罪,,2014,https://movie.douban.com/subject/21318488/
无人知晓 誰も知らない,9.1,372101,是枝裕和,是枝裕和,柳乐优弥/北浦爱/木村飞影/清水萌萌子/韩英惠,剧情,,2004,https://movie.douban.com/subject/1292337/
倩女幽魂,8.8,835223,程小东,阮继志,张国荣/王祖贤/午马/刘兆铭/林威,爱情/奇幻/武侠/古装,,2011,https://movie.douban.com/subject/1297447/
傲慢与偏见 Pride & Prejudice,8.7,932982,乔·赖特,简·奥斯汀/黛博拉·莫盖茨,凯拉·奈特莉/马修·麦克费登/唐纳德·萨瑟兰/布兰达·布莱斯/凯瑞·穆里根,剧情/爱情,,2005,https://movie.douban.com/subject/1418200/
新世界 신세계,8.9,526938,朴勋政,朴勋政,李政宰/崔岷植/黄政民/宋智孝/朴成雄,剧情/犯罪,,2013,https://movie.douban.com/subject/10437779/
花样年华 花樣年華,8.8,804213,王家卫,王家卫,张曼玉/梁朝伟/潘迪华/雷震/萧炳林,剧情/爱情,,2000,https://movie.douban.com/subject/1291557/
玩具总动员3 Toy Story 3,8.9,592242,李·昂克里奇,迈克尔·阿恩特/约翰·拉塞特/安德鲁·斯坦顿/李·昂克里奇,汤姆·汉克斯/蒂姆·艾伦/琼·库萨克/尼德·巴蒂/唐·里克斯,喜剧/动画/奇幻/冒险,,2010,https://movie.douban.com/subject/1858711/
一个叫欧维的男人决定去死 En man som heter Ove,8.9,568489,汉内斯·赫尔姆,汉内斯·赫尔姆/弗雷德里克·巴克曼,罗夫·拉斯加德/巴哈·帕斯/托比亚斯·阿姆博瑞/菲利普·伯格/安娜-莱娜·布伦丁,剧情,,2015,https://movie.douban.com/subject/26628357/
完美的世界 A Perfect World,9.1,359974,克林特·伊斯特伍德,约翰·李·汉考克,凯文·科斯特纳/劳拉·邓恩/克林特·伊斯特伍德/T·J·劳瑟/基斯·斯扎拉巴基克,剧情/犯罪,,1993,https://movie.douban.com/subject/1300992/
色，戒,8.7,960188,李安,王蕙玲/詹姆斯·夏慕斯/张爱玲,梁朝伟/汤唯/陈冲/王力宏/庹宗华,剧情/爱情/情色,,2007,https://movie.douban.com/subject/1828115/
阳光灿烂的日子,8.8,695359,姜文,姜文/王朔,夏雨/宁静/陶虹/耿乐/斯琴高娃,剧情/爱情,,1995,https://movie.douban.com/subject/1291875/
"怪兽电力公司 Monsters, Inc.",8.8,769832,彼特·道格特,安德鲁·斯坦顿/丹尼尔·吉尔森/罗伯特·L·贝尔德/雷特·瑞斯/乔纳森·罗伯特/彼特·道格特/杰夫·皮金/吉尔·卡尔顿/拉夫·埃格尔斯顿,约翰·古德曼/比利·克里斯托/玛丽·吉布斯/史蒂夫·布西密/詹姆斯·柯本,喜剧/动画/儿童/奇幻/冒险,,2001,https://movie.douban.com/subject/1291579/
小森林 夏秋篇 リトル・フォレスト 夏・秋,9.0,473119,森淳一,森淳一/五十岚大介,桥本爱/三浦贵大/松冈茉优/温水洋一/桐岛加恋,剧情,,2014,https://movie.douban.com/subject/25814705/
天使爱美丽 Le Fabuleux destin d'Amélie Poulain,8.7,1020684,让-皮埃尔·热内,纪尧姆·洛朗/让-皮埃尔·热内,奥黛丽·塔图/马修·卡索维茨/吕菲斯/洛莱拉·克拉沃塔/塞尔·梅林,剧情/喜剧/爱情,,2001,https://movie.douban.com/subject/1292215/
